station_id,latitude,longitude
8575020,46.780171,9.19002
8509864,46.785312,9.192955
8503675,47.309773,8.55838
8590775,47.304556,8.544302
8590777,47.307359,8.542004
8590779,47.302656,8.545442
8590780,47.300358,8.550363
7900052,46.5409,15.503736
7900260,46.544973,15.514576
5602721,48.673042,21.428854
5602722,48.748043,18.197495
5681671,48.032897,17.165572
5681687,48.043052,17.156066
5681688,48.054077,17.147112
5681673,48.05078,17.150524
5681674,48.057923,17.138653
5681686,48.038273,17.161176
5681672,48.046719,17.15227
5681689,48.056131,17.1442
8583869,47.394648,8.777036
8503792,47.394808,8.776336
8573530,47.396347,8.773204
8573511,47.3916,8.771664
8573531,47.399927,8.770395
8503561,47.409296,8.760783
8573532,47.40426,8.762845
8573529,47.391795,8.774706
8503563,47.384686,8.778443
8501002,46.188017,6.017809
8575488,46.201809,8.62206
8502576,47.227352,8.365491
8577336,47.070369,8.102773
8577335,47.080398,8.113984
8577292,47.073463,8.147756
8577293,47.078023,8.135896
8588803,47.082715,8.122795
8508899,47.082412,8.127548
8577291,47.07101,8.156831
8577294,47.085136,8.121096
8577296,47.093851,8.098134
8577290,47.067943,8.168071
7900207,46.562983,15.431653
8587405,47.286815,9.532764
8587491,47.300449,9.5465
8587492,47.290725,9.539633
8587469,47.29447,9.5383
8577929,47.157559,7.411583
8507749,46.781292,7.45037
8507726,46.778891,7.444021
8571432,46.773184,7.43995
8571660,46.783197,7.456481
8571659,46.787881,7.471523
8571658,46.78968,7.478074
8577934,47.152687,7.404803
8503238,46.935376,9.013367
8503326,46.937163,9.014731
8503121,47.260424,8.854557
8576103,47.260289,8.854214
8588036,47.257704,8.849524
8588037,47.251019,8.85564
8588038,47.253481,8.856491
8578564,47.255676,8.85853
8588039,47.251987,8.854067
8587945,47.260146,8.861474
8576050,47.259016,8.849533
8587946,47.261758,8.864557
8578565,47.258865,8.851408
8588040,47.255889,8.856127
8588041,47.267279,8.868766
8503396,47.259905,8.843064
8503358,47.250245,8.841655
8576076,47.252691,8.843482
8588042,47.252666,8.857944
8588043,47.251211,8.858727
8503355,47.255686,8.845782
8594538,47.260601,8.839257
8578563,47.253513,8.867087
8587947,47.265175,8.866805
8508471,46.970508,8.593255
8573698,47.557928,8.729341
8578100,47.227715,7.527258
8500835,47.230968,7.531333
8578099,47.23255,7.533168
8578101,47.219208,7.534087
8400537,52.080541,6.450806
8591647,46.003857,8.976355
8591648,46.003238,8.980792
8591803,46.003509,8.978076
8594227,46.005275,8.974652
8591650,46.004813,8.977454
8591649,46.003058,8.984079
5602724,48.875146,21.10966
5602725,49.086033,19.281334
5602726,48.668951,18.261647
5402727,50.127856,16.343274
5481015,48.64989,14.432105
5402730,50.166298,16.270703
5400186,50.683789,15.143135
5402731,50.360757,15.96973
5402732,49.857327,14.28156
5402733,49.929717,17.28413
5402734,49.394549,15.231597
5402735,50.13866,13.926096
